Gene	SRR1791304	SRR1791305	SRR1791306	SRR1791307	SRR1791308	SRR1791309	SRR1791310	SRR1791311	SRR1791312	SRR1791313	SRR1791314	SRR1791315	SRR1791316	SRR1791317	SRR1791318	SRR1791319	SRR1791320	SRR1791321	SRR1791322	SRR1791323	SRR1791324	SRR1791325	SRR1791326	SRR1791327	SRR1791328	SRR1791329	SRR1791330	SRR1791331	SRR1791332	SRR1791333	SRR1791334	SRR1791335	SRR1791336	SRR1791337	SRR1791338	SRR1791339	SRR1791340	SRR1791341	SRR1791342	SRR1791343	SRR1791344	SRR1791345	SRR1791346	SRR1791347	SRR1791348	SRR1791349	SRR1791350	SRR1791351	SRR1791352	SRR1791353	SRR1791354	SRR1791355	SRR1791356	SRR1791357	SRR1791358	SRR1791359	SRR1791360	SRR1791361	SRR1791362	SRR1791363	SRR1791364	SRR1791365	SRR1791366	SRR1791367	SRR1791368	SRR1791369	SRR1791370	SRR1791371	SRR1791372	SRR1791373	SRR1791374	SRR1791375
ACTG1	6.600195572	128.7457936	5.999598658	10.07954725	134.6427201	96.63122788	96.63122788	7.056465462	8.236388016	4.729167962	139.5090387	5.826092945	16.76269372	89.98781202	6.712714077	15.77380018	79.64146137	14.80197276	72.53764926	120.3443359	113.7887571	19.91220264	139.5090387	144.6207964	34.59935919	120.3443359	16.24583696	100.4162659	4.251890812	24.15271096	15.73235299	136.1598322	144.6207964	60.72778392	144.6207964	65.54840666	141.2590258	7.694167786	45.80269242	102.294477	76.8202164	9.183798752	78.17907366	69.89845336	8.457698698	91.82051791	4.069768294	142.9399111	6.233992389	14.87743325	53.38381014	116.4604839	7.733724362	13.14415828	141.2590258	78.67483881	18.01222508	20.99471551	5.89762798	3.745415824	4.954045945	120.3443359	121.4735599	8.784874694	6.611855441	4.253841845	26.54432433	6.847308481	5.150908896	42.00010278	18.52452673	26.79896235
MT-CYB	91.82051791	105.6388127	25.8658224	88.37061168	104.4810051	57.83454581	137.7485169	19.69294462	59.57501312	36.21688824	128.7457936	8.608831395	59.81212103	54.49556113	4.58550961	27.54892959	113.7887571	43.06357026	98.05845082	116.4604839	117.7828005	23.67122473	112.4535148	127.3998222	43.17083152	122.608642	43.97032172	84.39373843	10.35718358	43.17083152	12.52455231	137.7485169	131.6000123	25.9356207	117.7828005	84.39373843	116.4604839	22.51771085	105.6388127	115.1244594	62.02100725	25.55761262	70.2727151	56.79893551	7.503488029	95.3061902	18.37098979	134.6427201	17.45260125	124.9810392	22.39641239	104.4810051	7.053063594	69.89845336	137.7485169	50.81545967	32.20816953	24.39838602	31.64800975	58.25393105	26.54432433	123.7948406	123.7948406	22.84312211	12.11553497	7.741833883	34.9286878	9.477545481	84.39373843	35.55385852	17.93750561	21.76448454
MT-ND3	40.21875926	30.20803886	7.447764985	34.09839136	32.85300043	15.78486843	97.29032593	5.592015585	26.65903051	15.36867836	53.20022537	4.329095316	24.06053154	22.76708647	2.993119412	10.2554395	71.02682344	10.77955257	46.24753293	54.15136145	33.16569135	9.004514572	42.08763889	57.42311728	20.09492337	49.07071777	14.98235565	20.51265639	4.638963415	18.12254056	5.858357163	85.53755268	61.01058647	9.769117518	50.53056028	30.66900729	46.49497081	8.55124445	57.83454581	52.51194895	21.64425875	5.256980532	27.68381039	17.5702718	3.243354881	31.53023159	6.344230202	65.84379533	4.580245658	97.29032593	7.843686178	37.3727734	3.7063404	29.01192453	60.72778392	13.81692484	10.57976096	8.480901738	8.457698698	24.00352301	11.16769291	61.54476222	54.49556113	7.476294556	6.787990956	3.735487978	11.87203592	2.891243363	24.43261032	7.423643328	7.544932737	6.922131781
MT-ND4L	36.5885986	55.90104721	9.323257261	46.74653547	34.52763308	24.33120115	113.7887571	10.68764107	28.05148352	17.9528033	77.25315009	5.320880594	23.30346404	22.8188464	3.730944771	10.12136021	85.53755268	15.62258861	59.81212103	93.99512548	62.24365159	9.860396148	63.00945454	81.36642969	22.76708647	66.41171059	21.78809256	31.64800975	6.4780688	16.54441649	7.737684096	90.55328452	84.39373843	11.79696502	59.11642882	26.58697476	67.72450597	9.649545553	41.07980987	59.34981247	32.31222808	8.885908692	34.39867667	19.89495087	2.096360734	43.85716814	8.349484507	87.80554251	6.249819982	75.09413781	9.274776812	48.4563329	3.716937769	34.9286878	95.3061902	30.81157903	11.56203052	8.588310468	12.54417249	14.5141516	13.40459704	78.17907366	61.01058647	8.678228553	7.09190458	4.033971676	18.97596707	3.878160348	33.03542671	9.957253958	8.982486098	12.55605227
CTTN-DT	93.99512548	94.64097198	133.1226183	131.6000123	102.294477	20.26701181	89.46226446	11.98530108	128.7457936	100.4162659	69.89845336	92.5990798	88.92714058	27.54892959	44.95707793	42.47514571	92.5990798	12.55605227	16.94852499	99.6529925	64.93081403	31.4747925	67.06458678	67.72450597	126.1897265	86.05636819	43.7390441	67.06458678	71.3955771	137.7485169	65.84379533	79.64146137	66.41171059	30.66900729	98.86889748	113.7887571	106.9999147	31.87156563	64.93081403	62.48729287	120.3443359	95.97140842	112.4535148	72.15363852	81.97944739	93.99512548	99.6529925	49.9235459	26.5016739	120.3443359	95.97140842	57.21530206	35.55385852	120.3443359	57.00708335	51.96582889	49.9235459	72.15363852	15.04041369	126.1897265	116.4604839	70.2727151	94.64097198	19.7126364	23.94967527	29.5497514	36.29311441	13.36052525	100.4162659	93.99512548	15.1182382	26.2926507
PKM	69.53198017	72.15363852	77.71351535	75.55432378	71.02682344	75.55432378	90.55328452	64.37496219	73.29341763	78.67483881	97.29032593	84.39373843	67.72450597	58.87438773	67.40385255	70.2727151	76.39951803	66.71913298	75.97750452	90.55328452	93.99512548	91.1542839	92.5990798	90.55328452	76.8202164	88.37061168	68.33351302	92.5990798	75.09413781	93.99512548	63.26971993	94.64097198	82.57739977	79.17060397	74.57040972	83.79380416	87.19105246	68.0425535	95.3061902	80.72398024	98.05845082	61.29338903	71.02682344	89.98781202	84.97077371	94.64097198	71.02682344	96.63122788	63.00945454	61.54476222	57.62883154	78.17907366	71.02682344	65.54840666	105.6388127	63.26971993	96.63122788	90.55328452	69.89845336	83.79380416	78.67483881	83.18218241	85.53755268	54.66942814	70.65211548	63.53799915	57.42311728	51.77757969	79.64146137	67.72450597	64.93081403	57.62883154
CREB1	11.3969563	7.02863864	14.44293338	7.377471877	5.767134482	8.686558346	9.380380073	13.80240782	6.699045761	14.88637214	6.356971093	9.941959469	6.855929275	5.580425726	12.43495907	10.09784752	8.745985409	11.3915583	10.96833731	4.750338601	8.491464598	10.04058946	5.043984207	6.028015989	11.20493055	7.58662603	11.34579085	5.923395589	10.75747423	8.090814409	9.383452599	3.864385744	3.966292219	7.800873914	4.025262687	10.79698998	3.96464802	14.98235565	6.834413604	8.863088408	8.498774762	5.999598658	4.226357557	7.544932737	11.74737697	5.894208903	7.957589486	6.385761501	14.15160099	16.08641258	6.187588517	10.12813383	12.73543238	5.327084346	5.310099625	6.302087219	9.323257261	7.158837027	11.14879907	11.32629279	9.554920861	7.620230697	6.674606159	14.55985848	13.84787087	17.85894565	9.248195497	20.61527315	12.63857873	8.395460002	11.61905319	16.76269372
VEZF1	30.06156576	12.92831243	35.55385852	34.66796	20.86750526	6.972139153	17.43858352	4.279884299	41.68859322	14.47806848	13.34396768	17.46625057	18.9612719	8.299782963	3.808452683	7.178900644	13.9710914	5.853004154	5.650862687	19.09072294	14.24690467	5.773321355	12.80594386	17.82820099	19.23249854	21.07651111	7.295909589	16.3435094	11.04252222	18.6205648	6.51562276	17.43858352	13.80240782	8.277545056	19.15958302	11.20981082	30.44882627	3.413372682	21.32923315	20.7004022	19.85589509	6.881559917	33.63335799	18.85701968	14.11137788	22.6201362	11.80733758	15.56055498	4.856916594	43.17083152	9.057488393	13.67409967	3.65218507	23.32851573	16.07460726	12.45800641	8.483604159	24.8190281	4.547033996	75.97750452	52.85437168	17.34089878	21.2331239	7.135336764	5.309210454	5.821480086	5.275300865	5.067289657	26.87188569	62.7485661	3.653214208	5.979573886
ANKMY1	15.50750571	17.20725262	11.63472377	19.4018028	8.115251665	10.30443693	11.95972753	11.05979539	16.36879125	11.01481739	7.261702902	14.74664684	13.95371648	15.59028814	13.2676452	23.61626589	18.58982641	18.22426223	11.75253785	9.490557064	13.05301447	19.97993591	6.955962728	7.425702277	5.96152605	12.79210691	19.35012467	16.13259419	10.04399038	11.05539259	14.55985848	13.74798108	13.13644563	17.50792256	7.336825012	12.34108317	6.878271323	22.32770812	16.00541723	12.50680067	15.29676197	8.559568994	13.82414688	17.84390036	14.43411762	12.35381783	11.09293492	2.844033184	15.79602808	15.37846808	13.70705651	11.65469254	14.72917787	26.04328339	3.556504052	6.726989272	18.04562718	13.07402478	17.20725262	11.18632721	16.22359501	10.54333941	11.57308447	26.62353685	22.76708647	18.76074025	31.1104262	14.10310438	15.50750571	13.65189544	18.16513788	9.921860208
TAOK1	3.890064836	6.476698734	6.580519861	6.692840235	9.422500642	21.03635481	11.72132863	9.031002488	7.77972616	8.793350146	16.71352185	3.481988823	4.080934011	5.557595731	6.10113203	8.880564715	6.31768642	10.67099815	8.578131554	44.81745682	16.09818884	8.815986251	10.27768909	11.55148606	7.19929033	9.790446158	12.69455672	9.629465649	6.786368394	10.2969517	3.535403214	20.88720252	14.16009263	11.15331824	9.725977854	15.4542215	6.802211078	3.905936876	16.22359501	4.997898338	12.12730033	6.879928616	5.308311098	8.569888748	14.97220635	9.01346313	12.37269818	15.64512874	5.837862664	14.27320106	8.536265225	10.09784752	6.600195572	3.965744575	13.31966054	10.74529123	17.96810736	6.9657465	5.155338608	6.380236527	9.854121989	7.023604048	19.36756873	3.75308825	2.217010992	5.190301697	4.289136623	4.487193108	5.219485474	13.42012297	7.318393049	4.01953438
HNRNPH1	68.90554467	40.31373509	46.02184255	55.67110084	19.21721944	34.45908612	27.2633952	59.57501312	46.86584265	68.0425535	38.85471003	54.49556113	49.358545	24.8931335	73.29341763	35.63155044	45.80269242	39.20270547	38.08946096	28.87581838	50.23191205	29.5028861	25.9356207	35.78174638	50.81545967	48.0215433	48.61152253	43.17083152	31.70596029	36.37221947	62.24365159	35.21033343	36.21688824	31.76282919	29.5028861	52.85437168	24.75221153	55.67110084	27.03486215	42.00010278	44.95707793	30.86010756	46.86584265	26.04328339	74.57040972	30.55989528	32.20816953	31.64800975	65.54840666	44.67783571	13.73206901	45.5638462	54.66942814	44.67783571	46.74653547	14.74664684	50.07791226	32.09631033	30.25424057	45.68669357	71.02682344	56.79893551	41.8957961	58.45181257	98.86889748	65.54840666	63.83468362	67.72450597	53.20022537	47.57383764	50.07791226	33.70164766
MT-CO2	106.9999147	92.5990798	44.81745682	103.3392891	98.05845082	65.24739685	144.6207964	40.21875926	90.55328452	60.52246513	120.3443359	12.17593861	84.39373843	71.02682344	7.443891687	39.37773367	136.1598322	56.79893551	137.7485169	106.9999147	103.3392891	29.01192453	103.3392891	116.4604839	60.07111732	106.9999147	64.12844392	81.36642969	17.70868521	49.358545	28.36622273	128.7457936	119.0866716	34.99958097	98.05845082	87.80554251	105.6388127	43.2931413	109.7341717	112.4535148	65.24739685	24.27051745	64.93081403	67.72450597	6.54534651	79.64146137	39.20270547	121.4735599	10.46289987	137.7485169	32.20816953	101.2794499	8.044499984	76.8202164	117.7828005	75.09413781	49.49089218	25.28382158	45.68669357	86.05636819	30.55989528	126.1897265	130.1302438	29.05791773	19.48686137	12.12109986	51.96582889	11.17250672	83.79380416	21.69036283	20.132075	38.59039142
MT-ND4	127.3998222	141.2590258	67.72450597	130.1302438	139.5090387	88.92714058	159.1514644	59.11642882	124.9810392	99.6529925	149.696362	21.55367424	111.1084957	106.9999147	12.30503121	73.68349219	147.1457644	79.17060397	134.6427201	154.923013	144.6207964	44.32979467	144.6207964	149.696362	108.3610166	144.6207964	101.2794499	133.1226183	32.63739392	105.6388127	37.22288045	152.3030559	154.923013	54.86285157	152.3030559	130.1302438	149.696362	71.7688142	137.7485169	141.2590258	126.1897265	44.08057256	124.9810392	106.9999147	10.54717833	130.1302438	48.76610904	152.3030559	20.03654711	154.923013	66.13085576	136.1598322	13.96247409	123.7948406	152.3030559	113.7887571	73.68349219	44.45349819	70.65211548	100.4162659	62.24365159	152.3030559	142.9399111	48.0215433	38.9420338	16.72641744	76.39951803	13.81692484	120.3443359	78.67483881	37.44817811	51.77757969
MT-CO3	111.1084957	123.7948406	47.72161515	120.3443359	116.4604839	62.24365159	147.1457644	54.49556113	102.294477	88.37061168	142.9399111	12.79210691	78.17907366	60.31944576	9.67393634	48.76610904	141.2590258	56.59082146	133.1226183	141.2590258	123.7948406	42.70884242	128.7457936	139.5090387	77.25315009	127.3998222	72.91553345	97.29032593	22.5962242	60.31944576	34.99958097	142.9399111	137.7485169	31.05747287	130.1302438	75.97750452	126.1897265	64.12844392	123.7948406	122.608642	88.37061168	30.30176708	87.19105246	68.90554467	12.35381783	101.2794499	44.67783571	144.6207964	14.66696307	136.1598322	51.77757969	120.3443359	11.11645179	91.1542839	144.6207964	87.19105246	65.24739685	23.94967527	57.62883154	75.55432378	39.20270547	130.1302438	133.1226183	35.28632814	30.30176708	9.0399423	71.7688142	14.68495568	80.72398024	46.86584265	24.3008593	53.02050363
RUFY2	9.370812404	5.376923997	10.81542808	9.180628518	5.253275965	4.321239843	5.066365193	16.15435286	7.1141663	9.722632108	7.058187389	8.026357576	7.166079257	5.949094914	7.107199721	5.5232776	6.910579992	13.1164718	6.37732177	6.774408644	4.53973046	3.10623423	6.23266689	4.157131696	8.09332211	9.349990433	8.540978028	5.805189586	5.149535611	7.503488029	7.489470639	5.276311644	3.273475995	5.580425726	2.47914628	8.616617027	3.071326597	8.773429687	11.02874581	5.881989583	6.426434232	6.731917125	4.560693742	7.5429862	6.04753105	6.922131781	7.622242988	3.930308676	9.111567722	8.154444346	6.334117215	8.528589282	6.016785927	3.177742005	3.604807218	3.10468196	7.574847554	6.026809693	7.933553884	10.74082861	8.243116037	8.365462628	3.697293611	9.054563971	30.86010756	8.528589282	4.680599263	12.16982462	8.475723105	7.433098939	6.625663863	18.3381145
H2BC9	0.137931725	10.42294936	0.172981528	0.151222689	9.457724419	0.126122416	7.316505304	0.129175658	0.154782637	0.065681422	24.3008593	0.130048523	0.112802174	0.856099691	0.118313079	0.698039272	3.93798939	0.103760624	0.181992132	15.35861381	15.59028814	0.12010827	19.19684475	37.3727734	5.076291458	16.56853001	0.123103054	12.15768769	0.093481043	3.173211304	0.165553319	27.8792202	37.06101994	0.325742889	24.23984583	5.737733851	16.81502063	0.165768019	4.867337425	13.21899541	6.605932925	1.347780684	8.842608206	7.800873914	1.126605853	12.40311273	0.063437471	34.27530742	0.041631537	0.201036587	0.547131136	17.93750561	0.048548146	1.013186625	35.07040713	0.176369681	0.157998705	1.634606339	0.086335828	0.217296125	0.145106705	24.06053154	9.70841475	0.112961609	0.168660919	0.118852475	0.156499006	0.056204471	0.137894118	4.619055444	0.098864655	1.099617019
H2AC8	0.137931725	22.4194251	2.411143043	0.151222689	14.95275951	3.210974398	14.84106465	1.121037727	0.154782637	0.065681422	46.9840251	0.130048523	0.68894897	1.981094605	0.118313079	1.349834289	9.114367679	2.035382005	5.886889987	31.00678235	30.4007765	0.702638396	47.2789098	57.00708335	5.409161653	26.9904725	1.867802618	14.72917787	0.093481043	4.017768918	0.891936256	45.20248328	54.32465874	1.740251916	41.49460706	11.28681889	24.65870496	0.165768019	9.374114414	22.74241128	13.31966054	0.457265322	5.814721273	11.16769291	2.546174002	18.3859754	0.413789535	69.53198017	0.439540246	1.639013188	4.639653109	18.54163362	0.74979906	0.148812716	68.0425535	1.463382625	1.679013682	4.950746004	0.086335828	0.217296125	0.145106705	46.02184255	22.74241128	1.429700207	1.131048115	0.118852475	0.156499006	0.499403911	0.137894118	5.013398272	0.682930998	1.833346134
SPAG9	25.90085966	19.67590687	26.73056118	31.58938496	9.874639385	22.5962242	34.59935919	40.8805525	34.2126192	36.5885986	28.66227754	55.056275	33.28529037	23.01719408	73.68349219	25.34743131	35.78174638	45.32256838	22.74241128	16.29583191	29.41071994	25.62841667	12.25849172	16.70102911	41.30357743	35.92952475	42.08763889	31.42495269	62.24365159	45.44211762	30.66900729	19.48686137	13.75560311	22.4194251	10.09018169	58.64740377	11.9494159	26.12345151	31.53023159	45.44211762	34.15538401	40.31373509	16.49655305	26.32641016	46.86584265	35.55385852	45.80269242	9.193924475	72.53764926	31.32220078	18.30317052	34.2126192	36.29311441	18.63578735	14.76507172	17.19491349	40.03005458	24.92601802	47.72161515	37.77203043	40.97913397	33.28529037	16.00541723	64.37496219	57.62883154	62.02100725	42.95829485	81.97944739	41.68859322	22.6201362	58.64740377	68.0425535
ST6GALNAC2	21.32923315	8.357421502	7.642761996	22.23557025	16.10983644	5.411142671	15.23931824	19.28112996	28.74643206	18.37098979	16.72641744	31.26981103	20.49174674	17.23384841	15.35861381	21.37597207	15.26707478	10.65835724	4.072746921	7.030186951	19.69294462	13.56667434	5.740906788	2.907256158	5.273273213	17.6959213	16.91000502	10.28144036	5.775848445	15.52827516	2.940233911	17.11493435	10.75335989	13.27545031	8.781908396	23.32851573	2.167227602	13.55161196	9.441222467	24.39838602	12.13981708	4.727653479	5.228865465	11.76923734	14.06133919	8.08075238	7.063290964	5.583552612	21.25860168	8.835151797	4.610414814	12.38496497	12.05532931	25.41333361	2.482073366	5.727616238	11.01933401	16.51941547	12.30503121	6.959126707	23.25802883	5.467567976	6.12095452	49.358545	8.21903828	29.31758111	24.72255483	47.12610541	23.17728602	14.48701426	14.99284244	6.605932925
PLEKHG2	7.852295593	3.487514757	22.96940805	10.6669402	7.597196603	9.13315244	7.02863864	8.842608206	4.86578638	8.737611262	2.787906854	6.867112469	12.02504891	6.548437059	7.809425071	3.775110998	5.75068556	5.49099758	4.20679721	6.475289865	10.5886117	10.54333941	2.507986007	10.98750853	8.067317827	4.746513048	6.79745894	12.11001564	11.57308447	5.872582732	15.07917678	2.922403935	5.939339522	5.902181151	4.358447782	5.011539955	3.082358547	7.167927787	9.786814077	8.851437288	4.478928112	5.928394531	5.138559326	9.274776812	3.332827825	11.18184368	5.292055767	2.169957742	5.965179901	5.360315714	1.747840237	10.69985403	4.599486199	6.655870171	5.26765431	5.635610357	9.840277299	7.667112227	9.117189409	9.97998655	6.791163051	3.368160429	11.7912452	7.042439034	6.756910072	17.24655682	40.8805525	4.176349891	5.457528413	5.536815935	7.626187109	4.750338601
GGA3	17.27119231	10.66288224	6.528337466	10.89087793	3.685984377	6.907266538	14.33414372	8.829875662	8.509277664	12.25849172	4.521437231	4.62212206	10.95562595	9.067921884	9.896007686	16.06265624	9.812325692	5.403145635	4.905622059	4.800297026	6.369814926	6.681994497	3.4606959	5.091172813	8.683698423	5.260759223	13.05979538	6.641695092	12.11001564	9.945466014	8.885908692	5.79840638	4.721604827	12.64541472	3.559412074	6.859311303	3.153038753	9.437999474	8.206683075	7.765457968	9.0399423	10.9380374	11.13903275	8.955636537	11.22972072	4.201978741	12.95767485	8.398059024	9.878204558	11.00170688	4.629453667	8.108587673	8.770730867	7.47452415	5.026813417	11.07870682	7.021802591	4.428943425	15.94470417	8.009776563	13.78700464	10.39048367	2.137615942	14.07679514	32.42334778	12.71414339	10.67532569	11.89023709	13.50409372	7.288839299	12.25249649	10.97767275
WTIP	7.451676607	4.039882789	5.186798816	5.462622765	6.5618906	18.37098979	4.046235499	3.612512324	4.55930705	5.219485474	6.223500414	10.15349254	6.619311526	4.744339877	10.94246271	9.497297816	5.269440508	12.2258035	2.017664896	2.292587098	4.261434131	5.995841748	2.151899801	9.961161563	3.876515139	9.428467128	5.340876152	3.018256518	7.592532561	4.277096391	4.197011933	12.81208036	18.99066224	10.88228078	4.723748993	3.25746129	2.754470536	6.262044958	1.853264421	6.224808115	3.699728765	7.800873914	7.276756046	8.447521335	20.24644743	4.416855083	8.55124445	8.387802606	6.842341198	9.688426005	7.546893881	6.328872954	21.39924312	9.0399423	8.310795198	3.808452683	7.321964137	3.683414847	8.102364862	4.457843144	5.623409382	14.23796024	7.526784037	7.86942356	59.34981247	22.12019991	3.680499643	8.942308915	4.439037972	13.03948687	12.77797541	1.945993735
LNPK	13.30440048	4.8553425	8.934514138	6.12095452	4.699432465	6.442238424	8.282260699	9.850569462	10.40688401	11.38615054	5.215021942	9.649545553	6.442238424	6.042644114	13.31177661	12.2258035	5.966372829	8.236388016	3.025612966	5.870165434	7.064959547	9.867406729	2.832098967	4.772657302	9.309157961	8.112803309	9.57045067	9.819071538	7.763258383	7.063290964	9.829462827	5.71229487	5.089532465	4.898764964	5.412132001	14.87743325	2.045242053	7.117546185	8.1975541	11.31626732	5.778407625	13.07402478	3.061685826	10.45162327	9.226864865	9.0399423	20.82190825	4.49807329	25.55761262	9.586034887	4.596685016	11.45284172	14.15160099	11.76343496	3.745913794	9.652889877	6.039239239	8.842608206	6.915462909	9.745188089	9.515837584	6.787990956	3.004525836	15.51763744	16.71352185	20.20435472	12.20099041	16.54441649	17.66546135	9.561232847	7.110496495	14.56815268
RSPH1	11.78063177	6.638727378	9.97998655	13.19708617	5.595282448	7.928875805	9.941959469	6.194016395	8.21903828	10.45526362	5.218452319	7.408355545	11.14879907	6.215535227	11.01933401	18.17964486	8.063117939	8.260259022	5.501182979	1.818826353	6.272489839	9.567459396	2.153428165	4.04276843	8.007271855	7.752993695	11.71140988	6.824932607	9.808721505	8.536265225	10.77955257	7.889143472	3.852150432	11.30095297	5.560655489	10.09386299	4.887392763	11.40682205	3.662307805	10.45877932	8.423317045	8.55124445	5.045686833	4.263823176	6.749067756	6.669853467	11.55148606	4.575813273	10.44342661	7.667112227	3.850006198	9.892207815	10.01539909	5.526483441	4.176979802	5.19986083	7.282161057	4.842526998	12.70730493	9.899891242	16.15435286	9.77614099	7.236805102	21.01550531	18.44537683	27.0792518	6.091022676	11.71640404	17.9962519	7.086907572	10.92404713	3.905407607
KLHL25	6.625663863	11.69658119	4.312006959	5.107553541	12.45800641	7.493184123	4.909587605	7.616230783	5.607123034	6.622472153	5.737733851	10.10601217	11.35532149	17.02724009	11.64984281	14.43411762	7.515313113	11.99648218	5.500138264	3.16266043	4.467326834	8.102364862	2.17779014	4.290364764	1.908891613	6.421209593	6.508456684	11.49178965	4.907196661	8.996296723	6.871893102	10.11335781	6.73358662	11.71640404	3.882974911	4.74953977	3.682468695	3.304994728	4.269526875	8.85730471	6.328872954	3.535864521	9.036882452	4.313347219	11.52673563	7.166079257	3.743366776	3.166036944	11.44244304	4.348489261	3.229981593	12.31119227	16.21205214	11.69178323	3.361617103	14.45143928	34.8631763	3.432505334	5.320880594	3.260419825	11.12534071	9.599411957	2.38918424	12.62639294	11.75797434	28.79265058	40.03005458	36.5885986	20.132075	11.30095297	19.8186403	8.423317045
RNF133	21.50810702	6.931748335	7.079695004	6.431846661	4.80108055	5.863001211	12.43495907	16.9768481	24.49968817	12.68193559	5.073571572	12.92162478	14.23796024	7.338681458	17.28316407	13.69124294	25.01363267	10.98255421	6.036755165	8.279916445	11.33169159	10.2117237	3.406052516	3.745913794	5.486953384	13.99510761	14.56815268	9.114367679	8.017134099	10.0830538	7.580820286	8.049631441	3.607167004	6.342983259	5.022313663	10.89953808	2.408773214	7.101926593	5.80884687	13.36771264	9.484322749	5.989141631	6.069730648	9.528642073	9.340251262	9.082703102	10.72223387	3.106953075	17.93750561	5.099382408	6.563297429	8.000335223	6.148904968	13.08133489	2.870949068	6.133875769	8.413505838	11.91318919	11.51610597	7.238617413	13.18937727	4.032789057	3.837498437	17.19491349	10.12474702	18.20932248	13.19708617	41.8957961	11.02874581	6.638727378	11.65973356	11.48690651
MTF1	9.105970634	4.013737038	7.321964137	3.159655582	5.514905529	7.353269399	19.4018028	13.55161196	17.59725812	17.92384222	9.180628518	3.87708071	7.886812244	7.968760935	6.845587575	13.77903004	10.00477662	13.42012297	7.644893536	3.167568123	11.88440713	8.357421502	6.820057614	8.336137513	6.805306152	11.81223715	8.877568817	2.758613691	3.637376859	7.32749044	4.265104755	9.725977854	3.429471595	11.50608262	3.046411188	20.84543234	2.527137024	32.31222808	9.7387054	7.826462253	9.451058989	8.69462599	4.372592403	12.99889222	11.59342264	8.178257059	7.483765327	6.2766176	10.85943417	14.42530185	3.965744575	12.20737268	10.54333941	5.877099123	5.664945902	4.117431625	11.58355288	8.931631292	16.08641258	8.231877312	13.76325489	4.783754028	2.93225004	13.99510761	5.532642993	32.20816953	31.05747287	18.63578735	9.13315244	11.4677048	9.646201229	14.11943931
