Gene	SRR1791304	SRR1791305	SRR1791306	SRR1791307	SRR1791308	SRR1791309	SRR1791310	SRR1791311	SRR1791312	SRR1791313	SRR1791314	SRR1791315	SRR1791316	SRR1791317	SRR1791318	SRR1791319	SRR1791320	SRR1791321	SRR1791322	SRR1791323	SRR1791324	SRR1791325	SRR1791326	SRR1791327	SRR1791328	SRR1791329	SRR1791330	SRR1791331	SRR1791332	SRR1791333	SRR1791334	SRR1791335	SRR1791336	SRR1791337	SRR1791338	SRR1791339	SRR1791340	SRR1791341	SRR1791342	SRR1791343	SRR1791344	SRR1791345	SRR1791346	SRR1791347	SRR1791348	SRR1791349	SRR1791350	SRR1791351	SRR1791352	SRR1791353	SRR1791354	SRR1791355	SRR1791356	SRR1791357	SRR1791358	SRR1791359	SRR1791360	SRR1791361	SRR1791362	SRR1791363	SRR1791364	SRR1791365	SRR1791366	SRR1791367	SRR1791368	SRR1791369	SRR1791370	SRR1791371	SRR1791372	SRR1791373	SRR1791374	SRR1791375
ANKRD30B	62.24365159	16.96262468	85.53755268	69.89845336	22.25901479	5.328894723	46.02184255	5.964022527	72.91553345	38.85471003	16.22359501	57.42311728	49.62882023	5.621263189	7.318393049	8.279916445	42.70884242	9.415907762	5.59844876	35.85573014	18.16513788	8.000335223	21.09764083	36.81541855	45.32256838	32.53068929	10.69571277	37.3727734	22.09849117	36.5885986	10.9337425	30.95683895	13.05301447	5.426017135	21.07651111	26.91010855	45.5638462	6.374021603	43.52008588	39.46674076	54.49556113	9.150522021	38.33814808	42.70884242	10.18147929	29.05791773	18.89098184	15.00284248	8.13174372	73.29341763	12.28806696	28.53670807	7.708257255	48.92061445	14.01191327	9.180628518	7.73177602	45.91181607	8.313083923	117.7828005	88.92714058	35.14037028	31.87156563	3.504677756	9.535374653	6.940327949	3.9531616	4.919642247	61.79131681	84.97077371	3.888436248	7.996081648
ANKRD34A	13.53519306	22.07474812	23.07188425	23.75510639	16.70102911	11.81223715	23.58869693	3.137052644	22.66764426	9.136017994	27.91941214	12.10372564	9.918500859	7.953144391	9.377256651	6.30065609	28.41225522	2.721480422	4.152311167	42.17382219	19.97993591	11.63472377	25.48415898	31.70596029	34.66796	18.99066224	8.726770342	22.54417978	9.66692274	16.51941547	11.76923734	22.12019991	15.85493537	8.083048868	20.72590058	15.29676197	27.46750099	4.534106468	25.48415898	15.67648218	21.55367424	10.99236038	19.38470999	32.09631033	10.57560951	20.93099835	6.139949461	30.20803886	4.193386017	31.9904712	22.51771085	21.05655222	5.680932898	16.94852499	18.19442907	10.2080417	13.24624718	25.09707574	3.556985334	54.49556113	24.23984583	19.29810191	28.53670807	2.476686916	2.869645029	3.451506835	4.142587229	2.126236499	13.28295875	28.41225522	2.983458247	2.780339854
RPPH1	4.387922109	87.80554251	4.709660974	9.217196459	64.93081403	6.806816014	84.39373843	8.21669599	8.85730471	3.070595377	89.98781202	7.263557324	5.391620459	8.606434976	5.063681403	4.545490077	65.84379533	6.552679962	4.645482381	78.67483881	55.90104721	10.42683798	80.72398024	94.64097198	47.72161515	35.21033343	5.102081573	76.8202164	5.145358114	20.11355632	5.574967074	72.91553345	66.13085576	4.973510576	75.09413781	19.94604054	62.7485661	4.134382384	36.07196749	28.83472997	39.37773367	3.019324314	46.9840251	29.97535884	5.909136667	27.18947486	2.867279939	88.37061168	6.525418916	11.08794067	12.74302471	48.30114327	6.032883386	9.997268715	86.5765624	10.53925352	10.34077424	15.50750571	5.149993373	6.064780463	4.564476589	80.11193796	47.12610541	6.571562911	1.948251254	3.337862195	7.946489148	3.928044866	8.161476576	23.58869693	6.387142454	4.640347565
TMSB10	3.673125572	69.53198017	1.599682979	2.021973985	66.41171059	19.96258254	48.30114327	2.647168046	4.085170905	2.314838254	101.2794499	2.552435233	5.225116287	31.05747287	4.568685407	5.818201309	31.42495269	5.399253564	23.643555	59.81212103	64.62148047	7.544932737	93.99512548	106.9999147	13.03948687	68.62447254	10.74529123	50.95553253	3.30695779	11.33169159	11.645108	87.19105246	95.3061902	12.18811837	96.63122788	28.96596303	98.86889748	2.653149905	19.97993591	60.72778392	36.21688824	3.171317773	21.80956253	25.16100337	2.055602894	43.52008588	3.246654578	119.0866716	2.319607879	5.612517569	9.825805069	62.24365159	2.74053098	3.840231032	113.7887571	41.68859322	8.69462599	10.2554395	5.213120091	4.675273726	1.371324658	84.97077371	67.72450597	4.291643738	4.337741558	3.517800378	6.707870969	7.085087555	3.009178803	15.96884256	7.814149008	10.9380374
GPM6B	104.4810051	25.19350715	106.9999147	112.4535148	88.37061168	8.498774762	58.64740377	6.46667707	119.0866716	39.73205715	51.77757969	64.93081403	37.22288045	6.566083278	29.45640494	12.50099402	38.85471003	3.708256388	32.26116517	75.55432378	24.78541108	25.12903955	17.28316407	58.64740377	75.09413781	47.72161515	12.08458376	27.72334992	45.68669357	57.42311728	23.8976936	84.97077371	34.2126192	12.81208036	65.54840666	27.30192688	112.4535148	5.920996046	38.76749218	38.85471003	54.15136145	31.37452416	83.79380416	46.62075314	68.33351302	23.28130066	35.70769501	47.57383764	5.857277739	104.4810051	41.407205	20.26701181	5.646272767	80.72398024	32.69189871	39.02955283	17.34089878	52.68766845	2.336190935	134.6427201	113.7887571	36.97417134	80.11193796	13.67409967	9.024996415	13.19708617	28.66227754	3.127675787	89.46226446	130.1302438	3.159275313	6.878271323
TNPO2	6.994024118	15.47785165	10.41917232	10.3447756	56.13413774	9.245427061	15.06975374	8.090814409	9.415907762	7.560985841	11.27297934	6.293962112	7.000360997	5.236418294	13.03271181	18.87439219	10.24705652	6.910579992	23.30346404	7.112338165	11.96508274	20.88720252	19.28112996	9.685154791	10.15742239	8.673022478	14.19626618	16.9768481	33.76328369	12.00256336	12.40311273	9.497297816	8.231877312	21.57701553	32.97550605	10.25143232	40.97913397	5.326215237	17.1545621	7.158837027	10.12136021	10.69571277	16.18882478	11.21456253	22.25901479	6.875034968	14.38534046	7.950859754	6.070988502	12.79210691	26.32641016	15.58052601	11.3969563	8.598912152	5.627836123	35.92952475	25.75940019	14.82112503	3.325496502	8.520603991	5.985665523	16.59235958	31.26981103	2.929178396	2.751927898	3.199337561	7.242531734	3.725555707	8.226684069	12.72817792	4.650271903	4.713555382
HSPA8	6.118152026	77.25315009	4.725280429	4.026376959	67.72450597	43.97032172	53.58073176	4.657954061	7.715902677	2.569177627	119.0866716	4.683686216	3.939649573	34.0428922	3.344111451	8.354673407	34.8631763	3.886253349	22.6201362	79.64146137	80.72398024	12.09720723	88.92714058	105.6388127	12.90231688	81.36642969	15.62258861	65.54840666	6.867112469	14.11137788	8.071794141	98.05845082	97.29032593	14.3173191	91.82051791	27.54892959	65.84379533	2.987848599	23.94967527	54.15136145	42.00010278	4.154724851	45.44211762	30.25424057	6.367016853	44.95707793	4.638288107	123.7948406	4.355634289	9.493875177	29.75339937	68.33351302	4.565178038	5.72330748	120.3443359	43.41545107	10.09386299	10.50115922	5.746218127	3.022796577	2.304710394	95.97140842	63.00945454	9.057488393	8.815986251	3.887890918	7.721633673	5.325379456	7.345976475	18.13964116	8.920202157	15.96884256
GAPDH	13.38223193	117.7828005	25.52089732	46.9840251	87.19105246	46.9840251	82.57739977	17.29581137	13.01367209	18.69696855	122.608642	14.59530373	17.41001796	39.94022721	13.50409372	13.72378171	62.02100725	25.38026789	44.32979467	101.2794499	98.86889748	36.45214595	119.0866716	119.0866716	42.47514571	94.64097198	32.79311026	87.80554251	11.44753706	40.31373509	24.46700197	108.3610166	116.4604839	22.3051569	109.7341717	51.96582889	95.97140842	32.69189871	58.45181257	75.97750452	62.7485661	18.65072427	67.72450597	49.9235459	10.4970732	70.2727151	19.01895352	128.7457936	8.971338752	31.42495269	50.23191205	79.64146137	12.17593861	21.32923315	127.3998222	61.01058647	23.28130066	30.25424057	30.66900729	42.08763889	8.315659176	98.86889748	98.05845082	8.883288329	14.49585749	12.55016665	30.81157903	12.9151967	17.07589442	32.36616204	12.75817713	25.12903955
TUBA1B	7.347784084	79.64146137	3.837498437	6.37732177	82.57739977	16.29583191	68.33351302	5.875970822	5.711076524	4.660120048	141.2590258	3.577221886	9.640036749	12.92162478	7.495287303	8.188052893	33.70164766	5.416256748	9.925199353	119.0866716	92.5990798	12.43495907	130.1302438	137.7485169	19.9294544	111.1084957	6.427731225	70.2727151	11.4677048	15.21046082	16.75136904	131.6000123	136.1598322	19.01895352	124.9810392	47.57383764	111.1084957	9.576396648	21.85555657	89.46226446	39.73205715	9.595978694	47.12610541	44.56350434	1.35116714	76.39951803	23.61626589	147.1457644	6.459421043	0.201036587	28.17759445	81.36642969	8.863088408	4.218240636	147.1457644	14.16009263	8.250967758	8.098064874	3.442332639	0.217296125	4.268906503	108.3610166	86.5765624	8.64298377	3.279228303	9.928412587	3.096133842	9.226864865	5.859436588	25.09707574	11.92482592	4.944554322
FASTK	29.27038852	29.70243288	54.66942814	57.83454581	51.24901929	13.92904532	33.63335799	10.34077424	50.23191205	18.17964486	40.59424067	38.08946096	24.53093098	9.643101783	14.26471568	8.996296723	40.8805525	16.03883118	16.47577376	71.3955771	27.0792518	9.162203677	26.58697476	41.68859322	41.5858316	64.62148047	9.193924475	26.65903051	7.166079257	48.76610904	13.70705651	49.49089218	42.83671317	8.199831833	62.24365159	46.24753293	77.25315009	11.90733299	48.16100328	49.9235459	46.02184255	15.21046082	60.07111732	86.05636819	10.13885858	61.01058647	8.13388552	45.91181607	6.677730238	54.49556113	25.44741763	33.76328369	9.477545481	40.8805525	19.85589509	11.67574912	11.12981074	71.7688142	5.994676315	95.97140842	56.36894843	32.58288913	71.02682344	6.989279047	8.1975541	8.100274895	16.31951223	7.975832825	39.37773367	78.17907366	9.808721505	12.06731504
