refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR1791339	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791340	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791341	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791342	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791343	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791344	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791345	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791346	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791347	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791348	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791349	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791350	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791351	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791352	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791353	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791354	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791355	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791356	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791357	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791358	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791359	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791360	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791361	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791362	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791363	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791364	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791365	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791366	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791367	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				H	
SRR1791368	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				H	
SRR1791369	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				H	
SRR1791370	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				H	
SRR1791371	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				H	
SRR1791372	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791373	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791374	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
SRR1791375	SRP053246							HOMO_SAPIENS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	TRUE	204	Tximport	v1.13.8-hotfix				SRA				S	
